epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
101,19085.3,0.06623,0.97656,1,0.08594,0.00505,0.00505,0.00505
102,19272.9,0.06484,0.97576,1,0.08611,0.00497225,0.00497225,0.00497225
103,19463.5,0.06667,0.97576,1,0.08934,0.00489452,0.00489452,0.00489452
104,19650.5,0.06166,0.97557,1,0.08628,0.00481682,0.00481682,0.00481682
105,19840.7,0.06347,0.97537,1,0.08639,0.00473919,0.00473919,0.00473919
106,20027.3,0.06284,0.97517,1,0.08668,0.00466163,0.00466163,0.00466163
107,20216.7,0.06006,0.97537,1,0.08653,0.00458416,0.00458416,0.00458416
108,20404.2,0.06089,0.97517,1,0.08824,0.00450682,0.00450682,0.00450682
109,20593.6,0.06145,0.97537,1,0.08666,0.0044296,0.0044296,0.0044296
110,20783.1,0.06308,0.97497,1,0.0885,0.00435254,0.00435254,0.00435254
111,20971.5,0.05771,0.97497,1,0.08704,0.00427565,0.00427565,0.00427565
112,21159.8,0.05818,0.97497,1,0.08717,0.00419895,0.00419895,0.00419895
113,21348,0.05842,0.97477,1,0.08747,0.00412246,0.00412246,0.00412246
114,21537.3,0.05825,0.97457,1,0.08802,0.0040462,0.0040462,0.0040462
115,21725.2,0.06011,0.97477,1,0.08786,0.00397019,0.00397019,0.00397019
116,21915,0.05495,0.97477,1,0.08849,0.00389445,0.00389445,0.00389445
117,22104,0.05347,0.97477,1,0.08916,0.00381899,0.00381899,0.00381899
118,22293,0.05629,0.97477,1,0.08863,0.00374383,0.00374383,0.00374383
119,22481.9,0.05379,0.97457,1,0.08904,0.00366899,0.00366899,0.00366899
120,22669.2,0.05219,0.97437,1,0.08948,0.0035945,0.0035945,0.0035945
121,22856.1,0.05244,0.97457,1,0.08983,0.00352037,0.00352037,0.00352037
122,23047.6,0.0456,0.97457,1,0.0906,0.00344661,0.00344661,0.00344661
123,23235.5,0.04735,0.97457,1,0.09063,0.00337325,0.00337325,0.00337325
124,23426.6,0.04938,0.97437,1,0.09094,0.0033003,0.0033003,0.0033003
125,23613.3,0.04917,0.97497,1,0.09165,0.00322778,0.00322778,0.00322778
126,23803.8,0.04986,0.97497,1,0.09146,0.00315572,0.00315572,0.00315572
