ID,Protein_type,MW,PI_mean,PI_range,Protein_conc,Temperature,Buffer_type,Buffer_pH,Buffer_conc,Salt_type,Salt_conc,Stabilizer_type,Stabilizer_conc,Surfactant_type,Surfactant_conc,Viscosity_100,Viscosity_1000,Viscosity_10000,Viscosity_100000,Viscosity_15000000
F94,BGG,150,6.6,1,87,25,Histidine,6,100,NaCl,140,none,0,none,0,2.5,2.5,2.5,2.3,1.8
F95,BGG,150,6.6,1,66,25,Histidine,6,100,NaCl,140,none,0,none,0,1.67,1.67,1.67,1.67,1.67
F96,BGG,150,6.6,1,57,25,Histidine,6,100,NaCl,140,none,0,none,0,1.4,1.4,1.4,1.4,1.4
F97,BGG,150,6.6,1,165,25,Histidine,6,100,NaCl,140,none,0,none,0,7,6.3,6,5.27,4.25
F98,poly-hIgG,150,7.6,1,144,25,Histidine,6,100,NaCl,140,none,0,none,0,5.5,5.2,5.2,4.8,3.7
F99,poly-hIgG,150,7.6,1,94,25,Histidine,6,100,NaCl,140,none,0,none,0,2.49,2.49,2.49,2.36,1.68
F100,poly-hIgG,150,7.6,1,66,25,Histidine,6,100,NaCl,140,none,0,none,0,1.4,1.4,1.4,1.4,1.4
F101,poly-hIgG,150,7.6,1,45,25,Histidine,6,100,NaCl,140,none,0,none,0,1.15,1.15,1.15,1.15,1.15
F102,poly-hIgG,150,7.6,1,165,25,Histidine,6,100,NaCl,140,none,0,none,0,6.4,6.4,6.4,6,4.18
F103,BGG,150,6.6,1,95.85,25,Histidine,6,100,NaCl,140,none,0,tween-20,0.1,4.74,4.74,4.4,3.94,2.8
F104,BGG,150,6.6,1,150.8,25,Histidine,6,100,NaCl,140,none,0,tween-80,0.25,6.8,7.8,7.8,6.8,3.85
F105,BGG,150,6.6,1,44,25,Histidine,6,100,NaCl,140,Sucrose,0.25,tween-20,0.15,2.2,2.2,2.2,2.2,2.2
