epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,462.897,1.15992,0.09285,0.00141,0.79381,0.74,0.8433,0.55216,1.92005,0.62137,0.00461,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,472.642,1.22844,0.09837,0.00177,0.83492,0.7082,0.81655,0.52818,1.86959,0.66643,0.00445,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,482.408,1.1762,0.10168,0.00189,0.87478,0.69862,0.81305,0.52606,1.88969,0.69562,0.00447,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,492.042,1.06692,0.08599,0.00177,0.81706,0.62537,0.77002,0.53903,1.72137,0.65723,0.00424,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,501.914,1.0591,0.08122,0.00178,0.78049,0.71124,0.79885,0.57716,1.67841,0.68457,0.00352,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,511.708,1.07054,0.08057,0.00208,0.76636,0.72166,0.79164,0.56447,1.63564,0.71763,0.00365,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,521.691,1.01518,0.07722,0.00172,0.75465,0.7,0.7946,0.5722,1.7092,0.66832,0.00453,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,531.373,0.95061,0.07421,0.00182,0.74483,0.74,0.80142,0.55103,1.88394,0.67979,0.00457,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,541.254,0.8991,0.07739,0.00149,0.82986,0.74,0.81811,0.56492,1.82303,0.63942,0.00395,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,550.966,0.94945,0.07296,0.00152,0.79087,0.75639,0.82058,0.56555,1.84277,0.64733,0.00405,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,560.646,0.83798,0.06551,0.00149,0.7637,0.7757,0.80224,0.57169,1.60943,0.65221,0.00375,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
57,570.437,0.77097,0.05869,0.00118,0.90613,0.72,0.84621,0.57915,1.69589,0.59013,0.00387,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,580.321,0.72709,0.05509,0.00115,0.88179,0.74608,0.85165,0.59295,1.71109,0.59398,0.00406,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,589.927,0.81942,0.06323,0.00124,0.78827,0.74,0.84849,0.59649,1.68394,0.65053,0.00401,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,599.739,0.76738,0.05709,0.00107,0.7388,0.78,0.83665,0.57775,1.81219,0.61997,0.0045,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,609.536,0.74784,0.05684,0.00101,0.74982,0.8,0.82901,0.58088,1.75005,0.63011,0.00444,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,619.196,0.74375,0.05789,0.00097,0.69921,0.74,0.78168,0.5389,1.89142,0.55556,0.00475,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,628.955,0.70805,0.05335,0.0011,0.67126,0.73516,0.76626,0.53521,1.87983,0.5766,0.00499,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,638.837,0.68137,0.05636,0.00117,0.70765,0.74,0.77865,0.55758,1.72438,0.63146,0.00369,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,648.501,0.62302,0.04753,0.001,0.71051,0.76,0.78701,0.57382,1.62091,0.66297,0.00333,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,658.308,0.61857,0.05094,0.00091,0.71858,0.76,0.80547,0.57973,1.63387,0.65462,0.00336,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
67,668.196,0.5683,0.04364,0.00096,0.84851,0.72,0.82581,0.58982,1.71001,0.61885,0.00361,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
