Viscosity,5MHz Correction,15MHz Correction
42.1,1,0.926512232
42.2,1,0.925580886
42.3,1,0.92465005
42.4,1,0.923719733
42.5,1,0.922789942
42.6,1,0.921860684
42.7,1,0.920931966
42.8,1,0.920003794
42.9,1,0.919076177
43,1,0.91814912
43.1,1,0.917222631
43.2,1,0.916296716
43.3,1,0.915371381
43.4,1,0.914446634
43.5,1,0.913522482
43.6,1,0.912598929
43.7,1,0.911675983
43.8,1,0.910753651
43.9,1,0.909831937
44,1,0.908910849
44.1,1,0.907990393
44.2,1,0.907070574
44.3,1,0.906151399
44.4,1,0.905232873
44.5,1,0.904315003
44.6,1,0.903397794
44.7,1,0.902481252
44.8,1,0.901565383
44.9,1,0.900650191
45,1,0.899735684
45.1,1,0.898821865
45.2,1,0.897908742
45.3,1,0.896996318
45.4,1,0.896084599
45.5,1,0.895173591
45.6,1,0.894263299
45.7,1,0.893353728
45.8,1,0.892444882
45.9,1,0.891536768
46,1,0.890629389
46.1,1,0.889722752
46.2,1,0.88881686
46.3,1,0.887911718
46.4,1,0.887007332
46.5,1,0.886103705
46.6,1,0.885200843
46.7,1,0.88429875
46.8,1,0.88339743
46.9,1,0.882496889
47,1,0.88159713
47.1,1,0.880698158
47.2,1,0.879799977
47.3,1,0.878902591
47.4,1,0.878006005
47.5,1,0.877110223
47.6,1,0.876215249
47.7,1,0.875321086
47.8,1,0.87442774
47.9,1,0.873535213
48,1,0.87264351
48.1,1,0.871752635
48.2,1,0.870862591
48.3,1,0.869973383
48.4,1,0.869085013
48.5,1,0.868197486
48.6,1,0.867310806
48.7,1,0.866424975
48.8,1,0.865539997
48.9,1,0.864655876
49,1,0.863772616
49.1,1,0.862890219
49.2,1,0.862008689
49.3,1,0.86112803
49.4,1,0.860248244
49.5,1,0.859369335
49.6,1,0.858491306
49.7,1,0.85761416
49.8,1,0.8567379
49.9,1,0.855862529
50,1,0.854988051
50.1,1,0.854114468
50.2,1,0.853241783
50.3,1,0.852369999
50.4,1,0.851499119
50.5,1,0.850629146
50.6,1,0.849760082
50.7,1,0.848891931
50.8,1,0.848024694
50.9,1,0.847158374
51,1,0.846292975
51.1,1,0.845428499
51.2,1,0.844564947
51.3,1,0.843702323
51.4,1,0.84284063
51.5,1,0.841979869
51.6,1,0.841120043
51.7,1,0.840261154
51.8,1,0.839403205
51.9,1,0.838546197
52,1,0.837690134
52.1,1,0.836835017
52.2,1,0.835980849
52.3,1,0.835127631
52.4,1,0.834275366
52.5,1,0.833424055
52.6,1,0.832573702
52.7,1,0.831724307
52.8,1,0.830875872
52.9,1,0.830028401
53,1,0.829181894
53.1,1,0.828336353
53.2,1,0.827491781
53.3,1,0.826648179
53.4,1,0.825805548
53.5,1,0.824963891
53.6,1,0.82412321
53.7,1,0.823283505
53.8,1,0.822444779
53.9,1,0.821607033
54,1,0.820770268
54.1,1,0.819934487
54.2,1,0.819099691
54.3,1,0.818265881
54.4,1,0.817433059
54.5,1,0.816601226
54.6,1,0.815770384
54.7,1,0.814940533
54.8,1,0.814111676
54.9,1,0.813283814
55,1,0.812456947
55.1,1,0.811631078
55.2,1,0.810806207
55.3,1,0.809982336
55.4,1,0.809159465
55.5,1,0.808337597
55.6,1,0.807516731
55.7,1,0.80669687
55.8,1,0.805878014
55.9,1,0.805060164
56,1,0.804243322
56.1,1,0.803427488
56.2,1,0.802612663
56.3,1,0.801798849
56.4,1,0.800986046
56.5,1,0.800174255
56.6,1,0.799363476
56.7,1,0.798553712
56.8,1,0.797744962
56.9,1,0.796937228
57,1,0.79613051
57.1,1,0.795324809
57.2,1,0.794520126
57.3,1,0.793716461
57.4,1,0.792913815
57.5,1,0.792112189
57.6,1,0.791311583
57.7,1,0.790511999
57.8,1,0.789713436
57.9,1,0.788915895
58,1,0.788119377
58.1,1,0.787323883
58.2,1,0.786529412
58.3,1,0.785735965
58.4,1,0.784943544
58.5,1,0.784152147
58.6,1,0.783361777
58.7,1,0.782572432
58.8,1,0.781784114
58.9,1,0.780996823
59,1,0.780210559
59.1,1,0.779425322
59.2,1,0.778641114
59.3,1,0.777857933
59.4,1,0.777075781
59.5,1,0.776294658
59.6,1,0.775514563
59.7,1,0.774735498
59.8,1,0.773957462
59.9,1,0.773180455
60,1,0.772404479
60.1,1,0.771629532
60.2,1,0.770855615
60.3,1,0.770082728
60.4,1,0.769310872
60.5,1,0.768540045
60.6,1,0.767770249
60.7,1,0.767001484
60.8,1,0.766233748
60.9,1,0.765467044
61,1,0.764701369
61.1,1,0.763936725
61.2,1,0.763173112
61.3,1,0.762410528
61.4,1,0.761648975
61.5,1,0.760888452
61.6,1,0.76012896
61.7,1,0.759370497
61.8,1,0.758613064
61.9,1,0.75785666
62,1,0.757101287
62.1,1,0.756346942
62.2,1,0.755593627
62.3,1,0.75484134
62.4,1,0.754090083
62.5,1,0.753339854
62.6,1,0.752590653
62.7,1,0.75184248
62.8,1,0.751095335
62.9,1,0.750349218
63,1,0.749604127
63.1,1,0.748860064
63.2,1,0.748117027
63.3,1,0.747375016
63.4,1,0.746634031
63.5,1,0.745894072
63.6,1,0.745155137
63.7,1,0.744417228
63.8,1,0.743680343
63.9,1,0.742944481
64,1,0.742209643
64.1,1,0.741475829
64.2,1,0.740743036
64.3,1,0.740011266
64.4,1,0.739280518
64.5,1,0.738550791
64.6,1,0.737822085
64.7,1,0.737094398
64.8,1,0.736367732
64.9,1,0.735642084
65,1,0.734917456
65.1,1,0.734193845
65.2,1,0.733471252
65.3,1,0.732749676
65.4,1,0.732029116
65.5,1,0.731309572
65.6,1,0.730591043
65.7,1,0.729873528
65.8,1,0.729157028
65.9,1,0.728441541
66,1,0.727727066
66.1,1,0.727013604
66.2,1,0.726301153
66.3,1,0.725589712
66.4,1,0.724879282
66.5,1,0.724169861
66.6,1,0.723461449
66.7,1,0.722754044
66.8,1,0.722047647
66.9,1,0.721342256
67,1,0.720637871
67.1,1,0.719934491
67.2,1,0.719232115
67.3,1,0.718530743
67.4,1,0.717830373
67.5,1,0.717131006
67.6,1,0.716432639
67.7,1,0.715735273
67.8,1,0.715038907
67.9,1,0.714343539
68,1,0.71364917
68.1,1,0.712955797
68.2,1,0.712263421
68.3,1,0.71157204
68.4,1,0.710881654
68.5,1,0.710192262
68.6,1,0.709503862
68.7,1,0.708816455
68.8,1,0.708130039
68.9,1,0.707444613
69,1,0.706760176
69.1,1,0.706076728
69.2,1,0.705394268
69.3,1,0.704712794
69.4,1,0.704032306
69.5,1,0.703352803
69.6,1,0.702674284
69.7,1,0.701996748
69.8,1,0.701320194
69.9,1,0.700644621
70,1,0.699970028
70.1,1,0.699296415
70.2,1,0.69862378
70.3,1,0.697952122
70.4,1,0.69728144
70.5,1,0.696611734
70.6,1,0.695943001
70.7,1,0.695275243
70.8,1,0.694608456
70.9,1,0.693942641
71,1,0.693277796
71.1,1,0.692613921
71.2,1,0.691951014
71.3,1,0.691289074
71.4,1,0.6906281
71.5,1,0.689968092
71.6,1,0.689309047
