feature,importance
t11_f63,0.00031039654
t98_f55,0.00030964485
t125_f45,0.000309348
t123_f0,0.0003085616
t58_f57,0.00030845802
t113_f42,0.00030709791
t39_f52,0.0003070543
t46_f45,0.00030652442
t2_f3,0.00030538763
t11_f1,0.00030490913
t120_f48,0.00030402595
t112_f45,0.00030400004
t78_f41,0.00030386864
t48_f63,0.00030386317
t32_f58,0.00030374355
t123_f16,0.00030325056
t3_f45,0.00030293348
t35_f52,0.00030224427
t16_f40,0.00030220137
t70_f52,0.00030169272
t109_f40,0.00030117197
t21_f62,0.00030053552
t99_f52,0.00030030115
t8_f63,0.00029980458
t85_f50,0.00029863146
t36_f11,0.00029848216
t102_f34,0.00029846744
t98_f53,0.0002978092
t2_f33,0.00029758483
t20_f34,0.00029730683
t49_f34,0.00029665444
t104_f25,0.00029638116
t111_f44,0.00029612784
t83_f16,0.00029609766
t70_f56,0.00029597766
t18_f34,0.0002958959
t98_f51,0.00029539957
t50_f45,0.00029525047
t127_f60,0.00029477803
t46_f63,0.00029451543
t4_f56,0.0002940086
t8_f36,0.0002939604
t82_f52,0.00029383713
t60_f63,0.00029363975
t113_f57,0.00029340724
t56_f61,0.0002933679
t127_f40,0.00029307496
t126_f24,0.00029301588
t127_f5,0.00029288235
t7_f47,0.00029276716
t57_f37,0.0002925106
t0_f52,0.00029188063
t118_f52,0.00029154334
t78_f44,0.0002909944
t122_f51,0.00029086767
t2_f61,0.0002903188
t125_f43,0.00029021877
t108_f43,0.0002898842
t79_f51,0.00028935407
t27_f52,0.00028910182
t76_f25,0.0002881613
t6_f50,0.00028754456
t70_f30,0.0002872577
t118_f40,0.00028718155
t33_f50,0.00028706872
t127_f4,0.00028639444
t44_f52,0.0002863572
t32_f63,0.00028599822
t1_f63,0.00028592293
t56_f51,0.00028590523
t46_f58,0.0002856274
t113_f52,0.00028554362
t12_f45,0.00028551006
t52_f28,0.00028539708
t14_f45,0.00028521463
t71_f34,0.00028411477
t106_f63,0.00028392833
t58_f51,0.00028384375
t75_f42,0.00028354028
t111_f50,0.00028353254
t43_f13,0.00028349113
t86_f30,0.00028347122
t125_f62,0.00028313743
t103_f52,0.00028293367
t98_f34,0.0002827492
t108_f41,0.00028259185
t50_f34,0.00028254758
t15_f52,0.00028240765
t113_f62,0.00028027812
t60_f61,0.00028024684
t112_f62,0.0002802091
t122_f41,0.00027954212
t117_f63,0.00027929642
t16_f52,0.00027923356
t83_f50,0.00027905445
t7_f25,0.00027888015
t5_f34,0.00027886342
t111_f57,0.00027872718
t100_f59,0.0002787135
t114_f45,0.00027870477
t90_f59,0.00027843536
t104_f52,0.00027706783
t91_f50,0.00027691625
t93_f61,0.00027689143
t75_f22,0.00027674498
t23_f47,0.0002762675
t2_f34,0.00027597928
t79_f41,0.00027556552
t104_f62,0.00027554372
t92_f57,0.00027550827
t99_f3,0.00027536604
t70_f51,0.00027518664
t110_f25,0.00027504767
t99_f59,0.0002750096
t122_f45,0.0002746362
t106_f60,0.00027446236
t75_f53,0.00027418757
t35_f43,0.00027417523
t109_f45,0.00027416495
t95_f62,0.00027413215
t78_f52,0.000274054
t11_f25,0.00027351922
t74_f56,0.00027340025
t110_f51,0.00027338497
t14_f42,0.00027132692
t98_f62,0.0002708502
t88_f52,0.00027084159
t25_f52,0.00027077473
t37_f58,0.00027069365
t84_f18,0.0002700179
t35_f34,0.00026988544
t0_f7,0.00026961783
t60_f53,0.00026915842
t111_f62,0.00026908863
t64_f25,0.00026900382
t117_f43,0.00026897553
t55_f53,0.00026844506
t125_f63,0.00026793196
t3_f57,0.0002677389
t11_f12,0.00026770137
t103_f62,0.0002665394
t28_f4,0.00026638564
t10_f47,0.00026636553
t125_f24,0.00026590037
t124_f34,0.00026587682
t23_f53,0.00026587443
t49_f29,0.00026527015
t19_f51,0.00026514355
t116_f50,0.00026495545
t123_f44,0.00026462457
t12_f11,0.0002644805
t45_f52,0.00026428985
t120_f57,0.0002632931
t126_f7,0.00026313151
t123_f57,0.00026244932
t112_f52,0.000262388
t50_f63,0.0002623805
t75_f51,0.0002623305
t109_f61,0.00026231754
t8_f40,0.00026199868
t109_f37,0.00026155316
t4_f55,0.00026133226
t127_f30,0.00026099573
t51_f53,0.0002608027
t60_f25,0.0002607292
t20_f57,0.00026043563
t77_f40,0.00026032713
t11_f50,0.00026019075
t112_f63,0.00026005262
t15_f29,0.00025982165
t126_f45,0.0002586606
t92_f63,0.0002586479
t94_f59,0.00025862583
t32_f55,0.00025749716
t75_f3,0.000256871
t0_f18,0.00025558728
t3_f60,0.000255103
t122_f0,0.00025400057
t119_f40,0.0002537774
t64_f52,0.00025353726
t72_f34,0.00025325356
t96_f29,0.00025305277
t71_f63,0.00025295603
t54_f8,0.0002528638
t46_f35,0.0002522431
t97_f34,0.0002521332
t62_f34,0.00025182148
t99_f63,0.00025146152
t5_f3,0.000251075
t7_f28,0.0002505222
t113_f5,0.0002505134
t14_f7,0.00024990976
t96_f34,0.00024989815
t13_f55,0.00024949573
t23_f51,0.00024940437
t80_f28,0.00024905542
t94_f4,0.00024816228
t98_f42,0.0002480879
t112_f55,0.00024771228
t89_f6,0.00024738963
t127_f16,0.00024724504
t38_f41,0.00024723608
t51_f54,0.00024719856
t92_f45,0.0002469352
t14_f44,0.00024675112
t61_f52,0.00024608595
t101_f43,0.00024526863
t14_f51,0.00024480553
t82_f61,0.00024478816
t23_f41,0.00024454115
t81_f47,0.00024357508
t100_f50,0.0002433771
t91_f51,0.00024335612
t20_f40,0.0002431992
t61_f45,0.00024256176
t30_f45,0.00024234227
t18_f61,0.0002422996
t2_f50,0.00024201375
t56_f63,0.00024146281
t51_f44,0.00024011306
t13_f47,0.00023988745
t127_f41,0.00023962831
t63_f52,0.00023944158
t105_f23,0.0002386786
t18_f45,0.00023863358
t108_f50,0.0002384373
t51_f52,0.00023807654
t117_f42,0.00023789321
t127_f42,0.00023779158
t3_f25,0.00023761719
t110_f63,0.00023756373
t122_f43,0.0002375585
t26_f41,0.00023714884
t93_f51,0.00023625945
t127_f63,0.00023590708
t99_f51,0.00023558711
t58_f50,0.00023530827
t124_f51,0.00023499757
t89_f61,0.00023473441
t4_f34,0.00023448166
t18_f58,0.00023442051
t124_f43,0.00023428608
t95_f50,0.00023416473
t65_f51,0.00023396232
t46_f61,0.00023383366
t20_f13,0.0002338064
t25_f51,0.0002335842
t80_f50,0.00023338568
t30_f61,0.00023338267
t37_f51,0.00023298392
t108_f42,0.0002329707
t32_f54,0.00023295896
t72_f11,0.00023274441
t50_f57,0.00023272955
t42_f46,0.00023268655
t79_f62,0.00023229847
t89_f42,0.0002317216
t101_f31,0.00023128868
t98_f22,0.00023113424
t33_f1,0.00023107813
t1_f10,0.00023092478
t18_f56,0.00023081353
t31_f29,0.00023081065
t124_f12,0.00022983227
t61_f59,0.00022958264
t123_f30,0.00022926721
t13_f61,0.00022909213
t108_f24,0.00022896717
t119_f28,0.00022885913
t73_f41,0.00022883946
t19_f59,0.00022881088
t106_f40,0.00022861555
t33_f19,0.0002285156
t56_f6,0.0002284532
t107_f38,0.00022819638
t16_f44,0.00022771269
t60_f52,0.00022763762
t113_f60,0.00022763468
t15_f60,0.00022748824
t4_f47,0.00022709275
t124_f57,0.00022700716
t0_f29,0.00022695988
t47_f57,0.00022637456
t89_f50,0.00022628036
t37_f62,0.00022597668
t45_f50,0.00022577475
t126_f28,0.00022566644
t123_f12,0.00022556217
t93_f52,0.00022526753
t18_f55,0.00022520321
t70_f44,0.00022520147
t29_f63,0.00022472079
t107_f57,0.00022456588
t72_f31,0.00022450626
t14_f16,0.00022426374
t104_f40,0.00022385336
t5_f28,0.00022378015
t74_f55,0.00022376064
t66_f42,0.00022368808
t93_f55,0.00022348722
t112_f41,0.00022344559
t109_f59,0.00022308381
t126_f0,0.00022305788
t6_f52,0.00022305311
t113_f50,0.00022294161
t42_f30,0.000222719
t42_f22,0.00022264803
t105_f41,0.00022261096
t61_f42,0.00022201729
t103_f22,0.00022164261
t111_f48,0.0002216059
t114_f61,0.0002214467
t14_f40,0.00022064977
t110_f18,0.0002203313
t57_f42,0.00022002983
t127_f45,0.00021973817
t87_f36,0.00021942782
t38_f39,0.00021916682
t75_f57,0.00021898361
t32_f52,0.0002189527
t72_f63,0.00021860415
t73_f29,0.00021856035
t28_f59,0.00021829763
t29_f52,0.00021800351
t23_f60,0.0002172017
t88_f63,0.00021708521
t61_f28,0.00021688233
t80_f41,0.00021679392
t23_f52,0.00021674491
t41_f45,0.00021628385
t38_f61,0.0002161704
t10_f42,0.00021596627
t14_f52,0.0002156341
t117_f55,0.0002146894
t70_f16,0.000214265
t29_f34,0.00021409689
